,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,ra_y,dec_y,z1,z2,spec_type
0,2.0,0.686012,44.205921,136.464,1.31167,5.0,J090551.29+011842.5,136.4637129,1.3118066,0.071,0.0747,0.0024,228.496301,30.1905549,138.5127718,-14.6502735,1187.511,1517.525,1.3611015013510208e+18,1361p015_ac51-020878,1361p015_ac51,20878.0,14.543,0.032,34.0,1.514,14.485,0.053,20.5,0.9173,12.189,0.34,3.2,1.09,8.94,,-0.6,0.9478,1.144,1.0,0.0,0.0,0.0,0.0,0.0,0000,136.4637111,1.3118073,0.0784,0.0821,0.0119,-138.0,167.0,8.0,185.0,1.512,0.9172,1.09,0.9479,1.144,1N000,dd00,,0.0,00nn,AABU,7.0,0000,26.0,26.0,26.0,26.0,0.0,14.0,0.0,14.0,26.333,26.428,13.902,13.957,1.0,d,1.0,d,0.0,,0.0,,1.3611015013510208e+18,0.0,241.43,7.0958,14.402,3.063,0.022,101.37,4.9377,37.481,3.811,0.074,210.96,66.04,2332.58,29.86,5.984,-12.904,21.044,738.324,12.057,2.424,14.278,0.039,0.0,0.261,14.274,0.078,0.0,0.319,11.544,0.251,0.0,0.825,8.55,,32.0,0.576,15.031,0.044,0.0,15.114,0.092,0.0,13.08,0.352,0.0,11.083,,32.0,14.539,0.039,0.0,14.593,0.078,0.0,12.369,0.251,0.0,9.126,,32.0,14.299,0.039,1.0,14.369,0.082,1.0,11.975,0.224,0.0,8.712,,32.0,14.164,0.043,1.0,14.298,0.096,1.0,11.733,0.222,1.0,8.39,,32.0,14.072,0.048,1.0,14.302,0.115,1.0,11.521,0.218,1.0,8.18,,32.0,13.983,0.052,1.0,14.314,0.138,1.0,11.318,0.214,1.0,8.052,,32.0,13.877,0.054,1.0,14.287,0.155,1.0,11.158,0.213,1.0,8.057,,32.0,13.761,0.056,1.0,14.226,0.169,1.0,11.038,0.218,1.0,7.968,,32.0,14.526,0.082,0.016,0.819,25.0,4.71,55319.89573865,55511.88226361,55408.57365524,14.487,0.183,0.036,0.821,25.0,0.28,55319.89573865,55511.88226361,55408.57365524,12.401,0.877,0.234,0.551,12.0,0.09,55319.89573865,55320.88808385,55320.4580179,,,,0.919,4.0,0.1,55319.89573865,55320.88808385,55320.4580179,13.0,15.0,16.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15531525779936.0,136.464,1.3116700000000001,0.47,0.6459999999999999,PG+PG
1,3.0,1.085926,-58.033155,132.243,2.24817,5.0,J084858.23+021453.9,132.2426639,2.2483297,0.0811,0.0848,-0.0067,225.1565685,27.0150364,134.0545516,-14.9666021,359.22,3969.645,1.3151015013510513e+18,1315p015_ac51-051314,1315p015_ac51,51314.0,14.904,0.034,32.4,1.226,14.598,0.059,18.3,0.9629,12.525,,-0.3,0.9656,8.578,,0.8,1.056,1.065,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.2426623,2.2483299,0.0863,0.09,-0.0104,-413.0,221.0,21.0,238.0,1.22,0.963,0.9655,1.056,1.063,1N000,0000,,0.0,00nn,AAUU,3.0,0000,23.0,23.0,21.0,23.0,0.0,10.0,0.0,10.0,23.572,23.431,10.981,10.944,0.0,,0.0,,0.0,,0.0,,1.3151015013510513e+18,0.0,173.18,5.3445,14.148,2.943,0.0,91.373,4.9809,36.729,3.886,0.39,-26.182,77.457,2311.281,29.428,4.54,16.133,21.305,729.159,11.325,1.258,14.721,0.034,0.0,0.261,14.459,0.081,0.0,0.319,12.094,,32.0,0.825,8.033,,32.0,0.576,15.438,0.036,0.0,15.286,0.092,0.0,13.284,,32.0,9.043,,32.0,14.982,0.034,0.0,14.778,0.081,0.0,12.919,,32.0,8.609,,32.0,14.778,0.038,0.0,14.538,0.086,0.0,12.632,,32.0,8.321,,32.0,14.672,0.042,1.0,14.417,0.096,1.0,13.074,,32.0,8.035,,32.0,14.601,0.046,1.0,14.361,0.108,1.0,12.031,,32.0,7.739,,32.0,14.54,0.051,1.0,14.34,0.125,1.0,11.8,,32.0,7.482,,32.0,14.47,0.055,1.0,14.328,0.144,1.0,11.633,,32.0,7.304,,32.0,14.381,0.058,1.0,14.288,0.159,1.0,11.513,,32.0,7.146,,32.0,14.904,0.147,0.031,0.815,22.0,7.84,55315.66174722,55507.781978,55415.88411125,14.604,0.273,0.057,0.849,22.0,2.14,55315.66174722,55507.781978,55415.88411125,,,,,2.0,0.75,55315.66174722,55316.654093,55316.14468965,9.928,3.279,1.037,0.813,6.0,0.03,55315.66174722,55316.654093,55316.14468965,-22.0,-38.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16015576203273.0,132.243,2.24817,0.209,0.39299999999999996,PG+PG
2,4.0,1.986902,28.702597,137.198,2.40849,5.0,J090847.65+022432.3,137.1985553,2.4089741,0.0935,0.1003,0.0046,227.8364418,31.382974,138.8969853,-13.3836911,3222.797,425.225,1.376103001351008e+18,1376p030_ac51-007935,1376p030_ac51,7935.0,15.162,0.039,27.5,1.367,14.839,0.068,16.0,0.8656,12.474,,-0.4,0.8517,8.984,,-0.1,0.8555,1.022,1.0,0.0,0.0,0.0,0.0,0.0,0000,137.1985547,2.4089744,0.096,0.104,0.0093,-36.0,271.0,-245.0,300.0,1.365,0.8673,0.8516,0.8555,1.022,1N001,0000,,0.0,00nn,AAUU,3.0,0000,22.0,22.0,19.0,22.0,0.0,12.0,0.0,12.0,23.214,23.481,11.958,11.848,0.0,,0.0,,0.0,,0.0,,1.376103001351008e+18,0.0,136.53,4.9619,14.156,2.857,0.028,73.195,4.5781,37.864,3.787,0.0,-29.561,81.17,2398.065,31.252,5.75,-2.9978,20.197,764.177,10.86,1.537,14.92,0.04,1.0,0.261,14.714,0.111,1.0,0.319,12.469,,32.0,0.825,8.531,,32.0,0.576,15.656,0.045,0.0,15.524,0.124,0.0,13.482,,32.0,9.544,,32.0,15.181,0.04,1.0,15.033,0.111,1.0,13.294,,32.0,9.107,,32.0,14.968,0.042,1.0,14.829,0.119,1.0,12.709,,32.0,8.769,,32.0,14.82,0.047,1.0,14.719,0.134,1.0,12.329,,32.0,8.477,,32.0,14.64,0.048,1.0,14.595,0.145,1.0,11.955,,32.0,11.865,,32.0,14.409,0.045,1.0,14.418,0.146,1.0,11.593,,32.0,8.383,,32.0,14.105,0.04,1.0,14.154,0.133,1.0,11.949,0.488,1.0,8.715,,32.0,13.685,0.032,1.0,13.775,0.109,1.0,11.577,0.398,1.0,7.579,,32.0,15.177,0.176,0.038,0.767,21.0,6.01,55320.16060176,55512.27879402,55407.55627804,14.849,0.303,0.065,0.851,21.0,1.39,55320.16060176,55512.27879402,55407.55627804,14.654,8.475,2.447,0.591,5.0,0.03,55320.16060176,55321.28512382,55320.72286279,,,,0.624,5.0,0.55,55320.16060176,55321.28512382,55320.72286279,-34.0,49.0,57.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,15531188098970.0,137.198,2.40849,0.281,0.5489999999999999,PG+PG
3,5.0,0.132887,-158.735743,134.097,2.49636,5.0,J085623.27+022946.7,134.0969866,2.4963256,0.0587,0.0608,-0.0077,225.9490598,28.7480936,135.8197076,-14.2076296,3422.41,654.005,1.3461030013510103e+18,1346p030_ac51-010379,1346p030_ac51,10379.0,14.021,0.028,38.5,1.051,13.851,0.039,27.8,0.8075,11.916,,1.9,1.002,8.963,,0.0,0.958,0.9425,1.0,0.0,0.0,0.0,0.0,0.0,0000,134.0969866,2.496326,0.0611,0.0631,0.0064,-42.0,113.0,72.0,123.0,1.05,0.8079,1.002,0.958,0.9423,1N000,0000,,0.0,00nn,AAUU,3.0,0000,26.0,26.0,26.0,26.0,0.0,12.0,0.0,12.0,26.258,26.606,13.387,13.377,0.0,,0.0,,0.0,,0.0,,1.3461030013510103e+18,0.0,390.31,10.147,14.441,3.022,0.037,181.73,6.528,37.136,3.871,0.011,130.38,70.474,2360.452,28.882,5.271,-0.58988,20.599,747.423,11.258,1.942,13.869,0.018,1.0,0.261,13.71,0.041,1.0,0.319,11.349,,32.0,0.825,8.284,,32.0,0.576,14.586,0.02,0.0,14.542,0.047,0.0,12.726,,32.0,10.05,,32.0,14.13,0.018,1.0,14.029,0.041,1.0,12.174,,32.0,8.86,,32.0,13.81,0.018,1.0,13.686,0.039,1.0,11.799,,32.0,8.456,,32.0,13.358,0.015,1.0,13.282,0.033,1.0,12.268,0.534,1.0,8.183,,32.0,12.815,0.012,1.0,12.827,0.026,1.0,12.071,0.534,1.0,7.892,,32.0,12.412,0.01,1.0,12.471,0.022,1.0,11.187,,32.0,7.612,,32.0,12.202,0.01,1.0,12.267,0.022,1.0,11.078,,32.0,7.394,,32.0,12.113,0.01,1.0,12.18,0.023,1.0,11.01,,32.0,7.188,,32.0,14.012,0.064,0.013,0.8,25.0,4.57,55317.24965326,55509.3691176,55405.99910561,13.854,0.123,0.024,0.768,25.0,0.75,55317.24965326,55509.3691176,55405.99910561,12.702,1.966,0.568,0.693,9.0,0.28,55317.24965326,55318.37430311,55317.80092099,,,,0.678,5.0,0.13,55317.24965326,55318.37430311,55317.80092099,1.0,1.0,35.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,804255154.0,0.257,-81.6,1.0,15.998,0.103,15.601,0.141,14.796,0.134,16287259535765.0,134.097,2.4963599999999997,0.198,0.615,PG+PG
4,6.0,0.270393,17.329017,129.157,2.86991,5.0,J083637.73+025211.9,129.1572324,2.8699817,0.0861,0.0907,-0.0121,222.8899454,24.6222763,130.8066161,-15.1957667,517.688,1632.365,1.285103001351022e+18,1285p030_ac51-022132,1285p030_ac51,22132.0,15.071,0.035,30.7,0.9953,14.859,0.071,15.4,0.818,11.73,0.293,3.7,0.8627,8.254,,1.7,0.8741,0.8912,1.0,0.0,0.0,0.0,0.0,0.0,0000,129.1572362,2.8699819,0.1017,0.1076,-0.0215,166.0,256.0,4.0,275.0,0.9932,0.8192,0.8628,0.874,0.8909,1N000,0000,,0.0,00nn,AABU,7.0,1111,24.0,24.0,17.0,24.0,0.0,11.0,0.0,11.0,24.348,24.599,10.938,10.891,0.0,,0.0,,0.0,,0.0,,1.285103001351022e+18,0.0,148.41,4.8409,13.899,2.926,0.127,71.87,4.6771,38.288,3.875,0.148,322.25,86.913,2354.349,31.146,9.243,36.588,21.274,735.625,11.407,2.231,14.986,0.19,1.0,0.261,14.831,0.128,1.0,0.319,11.7,0.332,1.0,0.825,8.283,,32.0,0.576,15.663,0.132,1.0,15.581,0.135,1.0,13.107,0.406,0.0,9.178,,32.0,15.247,0.19,1.0,15.15,0.128,1.0,12.525,0.332,1.0,8.859,,32.0,15.09,0.206,1.0,15.045,0.148,1.0,12.254,0.332,1.0,8.592,,32.0,15.042,0.203,1.0,15.117,0.196,1.0,12.135,0.368,1.0,8.268,,32.0,15.043,0.208,1.0,15.297,0.278,1.0,12.093,0.427,1.0,7.995,,32.0,15.055,0.216,1.0,15.54,0.41,1.0,12.101,0.505,1.0,7.822,,32.0,15.057,0.223,1.0,15.043,,32.0,11.299,,32.0,7.67,,32.0,15.092,0.239,1.0,15.266,,32.0,11.172,,32.0,7.508,,32.0,15.077,0.154,0.031,0.858,23.0,5.39,55312.48631574,55504.87217964,55408.7234271,14.865,0.321,0.066,0.748,23.0,1.66,55312.48631574,55504.87217964,55408.7234271,11.61,0.492,0.148,0.881,9.0,0.13,55312.48631574,55313.61096561,55313.04563086,9.101,1.512,0.456,0.624,7.0,0.04,55312.48631574,55313.61096561,55313.04563086,-30.0,-17.0,46.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16025978715201.0,129.157,2.86991,0.511,0.282,PG+PG
5,7.0,1.384427,-131.257927,132.676,0.34792,5.0,J085042.12+002051.5,132.6755409,0.3476664,0.1734,0.1258,0.0792,227.2423525,26.4410687,135.0378784,-16.6709475,3184.799,2958.248,1.3311000013510418e+18,1331p000_ac51-041827,1331p000_ac51,41827.0,14.738,0.079,13.7,1.866,14.432,0.096,11.3,0.9984,12.126,,0.5,1.041,8.169,,0.5,0.8973,1.286,2.0,1.0,0.0,0.0,0.0,0.0,0000,,,,,,,,,,,,,,,,0000,,0.0,nnnn,AAUU,3.0,0000,22.0,22.0,20.0,22.0,0.0,10.0,0.0,10.0,22.105,22.625,10.709,10.651,0.0,,0.0,,0.0,,0.0,,1.3311000013510418e+18,0.0,201.79,14.693,13.748,2.931,0.245,106.47,9.3841,36.074,3.831,0.345,43.476,90.087,2235.055,28.962,5.841,16.935,34.32,697.237,11.017,1.151,13.342,0.022,1.0,0.261,13.069,0.03,1.0,0.319,11.277,,32.0,0.825,8.226,,32.0,0.576,14.211,0.027,1.0,14.012,0.037,1.0,12.576,,32.0,9.243,,32.0,13.603,0.022,1.0,13.388,0.03,1.0,12.102,,32.0,8.802,,32.0,13.31,0.022,1.0,13.069,0.028,1.0,11.872,,32.0,8.456,,32.0,13.158,0.023,1.0,12.894,0.03,1.0,11.774,,32.0,8.161,,32.0,13.058,0.025,1.0,12.785,0.032,1.0,11.691,,32.0,7.899,,32.0,12.981,0.028,1.0,12.707,0.036,1.0,11.607,,32.0,7.663,,32.0,12.921,0.03,1.0,12.648,0.039,1.0,11.575,,32.0,7.447,,32.0,12.868,0.033,1.0,12.59,0.043,1.0,11.546,,32.0,7.247,,32.0,14.765,0.134,0.029,0.836,21.0,1.16,55316.58762249,55508.70823389,55412.63296636,14.418,0.158,0.034,0.738,21.0,0.07,55316.58762249,55508.70823389,55412.63296636,13.964,7.533,2.382,0.575,5.0,0.31,55316.58762249,55317.57996822,55317.0639561,9.853,5.821,1.841,0.87,4.0,0.2,55316.58762249,55317.57996822,55317.0639561,-13.0,-56.0,14.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012419252893.0,132.676,0.34792,0.191,0.33299999999999996,PG+PG
6,7.0,3.559615,78.170515,132.676,0.34792,5.0,J085042.43+002053.2,132.6767978,0.3481227,0.0726,0.0572,0.0303,227.2426237,26.4423836,135.0390033,-16.6701558,3181.508,2959.443,1.3311000013510418e+18,1331p000_ac51-041826,1331p000_ac51,41826.0,13.547,0.034,31.6,1.866,13.276,0.041,26.7,0.9984,12.149,0.445,2.4,1.041,8.412,,-0.2,0.8973,1.286,2.0,1.0,0.0,0.0,0.0,0.0,0000,132.6765889,0.3480313,0.0467,0.0446,0.0045,185.0,81.0,241.0,84.0,2.603,1.097,1.042,0.8975,1.573,1N082,0000,,0.0,nnnn,AACU,7.0,0000,22.0,22.0,22.0,22.0,0.0,10.0,0.0,10.0,21.882,22.522,10.497,10.532,0.0,,0.0,,0.0,,0.0,,1.3311000013510418e+18,0.0,604.04,19.144,13.748,2.931,0.057,308.86,11.587,36.074,3.831,0.469,218.94,89.687,2235.055,28.962,2.934,-6.2822,34.201,697.237,11.017,2.816,13.228,0.02,1.0,0.261,12.95,0.034,1.0,0.319,11.295,,32.0,0.825,8.123,,32.0,0.576,13.96,0.022,1.0,13.788,0.039,1.0,12.528,,32.0,9.14,,32.0,13.489,0.02,1.0,13.269,0.034,1.0,12.12,,32.0,8.699,,32.0,13.279,0.021,1.0,13.025,0.034,1.0,11.865,,32.0,8.352,,32.0,13.164,0.023,1.0,12.886,0.037,1.0,11.715,,32.0,8.06,,32.0,13.081,0.025,1.0,12.789,0.041,1.0,11.642,,32.0,7.797,,32.0,13.005,0.028,1.0,12.714,0.045,1.0,11.575,,32.0,7.561,,32.0,12.94,0.03,1.0,12.652,0.049,1.0,11.537,,32.0,7.346,,32.0,12.891,0.034,1.0,12.601,0.054,1.0,11.516,,32.0,7.147,,32.0,13.547,0.048,0.01,0.751,21.0,2.8,55316.58762249,55508.70823389,55412.63296636,13.273,0.091,0.019,0.833,21.0,0.99,55316.58762249,55508.70823389,55412.63296636,11.861,0.684,0.216,0.712,7.0,0.06,55316.58762249,55317.57996822,55317.0639561,,,,0.621,4.0,0.47,55316.58762249,55317.57996822,55317.0639561,16.0,23.0,-29.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,803040521.0,0.543,-127.4,1.0,15.437,0.09,14.66,0.1,14.143,0.084,16012419253132.0,132.676,0.34792,0.191,0.33299999999999996,PG+PG
7,8.0,0.749512,11.104175,132.663,0.63611,5.0,J085039.12+003810.7,132.6630001,0.6363143,0.0988,0.1057,0.0126,226.9569192,26.5760979,134.9406475,-16.3974759,3217.581,3713.952,1.3311000013510607e+18,1331p000_ac51-060773,1331p000_ac51,60773.0,15.288,0.041,26.7,1.047,14.958,0.072,15.1,0.9275,12.607,,-0.6,1.048,8.968,,0.4,1.03,1.002,1.0,0.0,0.0,0.0,0.0,0.0,0000,132.6629999,0.6363211,0.1028,0.1099,0.0153,21.0,283.0,523.0,314.0,1.044,0.926,1.048,1.03,1.001,2N000,0000,,0.0,00nn,AAUU,3.0,0000,25.0,25.0,19.0,25.0,0.0,13.0,0.0,13.0,25.364,25.392,13.965,14.077,0.0,,0.0,,0.0,,0.0,,1.3311000013510607e+18,0.0,121.53,4.5496,13.625,2.95,0.106,65.606,4.3545,35.726,3.749,0.221,-40.865,71.776,2242.478,29.438,3.176,6.9669,17.015,700.831,10.708,2.767,15.128,0.042,1.0,0.261,14.851,0.118,1.0,0.319,12.388,,32.0,0.825,8.457,,32.0,0.576,15.825,0.046,1.0,15.649,0.131,1.0,14.883,,32.0,9.488,,32.0,15.389,0.042,1.0,15.17,0.118,1.0,13.213,,32.0,9.033,,32.0,15.165,0.044,1.0,14.947,0.124,1.0,12.933,,32.0,8.687,,32.0,15.0,0.046,1.0,14.797,0.134,1.0,12.709,,32.0,8.315,,32.0,14.864,0.049,1.0,14.671,0.143,1.0,12.52,,32.0,7.943,,32.0,14.736,0.051,1.0,14.551,0.151,1.0,12.353,,32.0,7.655,,32.0,14.597,0.052,1.0,14.416,0.156,1.0,12.201,,32.0,7.438,,32.0,14.397,0.05,1.0,14.216,0.149,1.0,11.984,,32.0,7.267,,32.0,15.305,0.166,0.033,0.736,24.0,7.27,55316.45531822,55508.57592977,55401.03345005,14.964,0.213,0.043,0.776,24.0,0.02,55316.45531822,55508.57592977,55401.03345005,,,,0.64,4.0,0.02,55316.45531822,55317.44766396,55316.89809236,10.974,9.072,2.516,0.801,7.0,0.0,55316.45531822,55317.44766396,55316.89809236,0.0,-4.0,85.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16012403990002.0,132.663,0.6361100000000001,0.37799999999999995,0.23399999999999999,PG+PG
