cataid,logMstar
1126606,9.99629485
197073,10.51402235
197073,10.48806235
198082,10.52769219
202448,11.03937195
204140,10.60093166
209222,10.72284842
209263,10.73430452
209295,10.9054043
209584,9.96844048
218757,11.08661447
279369,10.87626645
279956,10.60787245
300500,10.66522811
301818,10.88177185
302123,11.68821679
302719,11.24681362
323200,10.81588406
323247,10.53914743
324470,9.952649777
325026,10.45659943
325108,10.36065796
345974,10.18255711
345984,9.774037109
347499,10.40914435
348065,10.03142792
348299,10.83143846
371208,10.26722417
371995,9.671418033
372810,10.59187091
375506,10.07096087
376767,11.20768989
376791,10.35120374
377212,10.79522448
377486,10.02778579
380839,11.14513826
382083,9.61925672
382857,10.95889762
383053,10.16284968
383284,10.29743413
386427,10.47398914
387615,10.56138792
388201,10.58628048
417645,9.930138033
417922,11.05184374
528021,10.90453819
419678,11.83412726
422882,11.49452626
425637,11.22917013
528021,10.11997819
419678,11.04956726
573657,10.86110898
573744,10.36519468
574390,10.61374248
574857,9.489424587
575653,10.94318301
599770,10.47043481
599770,11.01543481
599797,10.55425438
599995,10.41171616
600968,9.544423827
622326,10.71007431
641911,9.200048383
663372,10.70862033
905359,11.88139685
3576902,10.73484782
3579777,11.04955378
3612009,10.7321243
3624490,10.9127413
3626956,11.75218755
3632403,10.9730931
3633744,9.971054216
3866435,10.46122109
3884455,11.12531686
3886423,10.54424822
3887215,10.50377698
3890035,10.61273236
3904099,10.44965485
3909630,10.23306196
3913313,10.98198248
7242,11.5724064
7907,10.77924367
9156,10.70258235
22559,9.560944481
32248,9.912812027
39055,9.882368383
39870,11.03292664
40642,9.979410313
53931,9.697735811
54130,10.00758786
54523,10.49945797
55091,10.76751529
55175,10.37962455
71072,10.39333924
71566,10.242288
84090,10.45355378
97836,10.23059135
98399,10.82068773
98624,10.47729236
99508,10.2579837
124295,10.40443316
130303,11.07884229
130523,10.00293219
131725,11.06401511
136782,10.91339924
136800,10.67787273
136907,8.646123276
138015,10.52810243
138368,10.60953945
138811,10.0943023
164640,10.40390385
164640,9.540063848
164995,10.53786243
172153,11.7122941
177278,10.62622435
184530,11.31942036
185604,10.56233498
185812,10.7994043
185998,10.50397628
186085,10.58487135
186516,10.6189661
186737,10.19403091
220204,10.30808218
220682,10.96603616
220854,10.91682485
230803,10.27552118
231043,9.840248244
231746,10.79008587
231785,9.757597662
272227,9.391943848
272828,11.02094048
273903,10.15137485
289050,10.36459069
289265,10.92867324
289278,10.60398575
396570,10.27467993
397097,10.47588479
402278,9.947840224
559147,11.13222947
559653,10.17224766
560010,9.789936612
560475,10.4930903
560853,11.11300822
583469,10.8975531
583813,10.19149826
585446,10.53002136
585644,11.01349189
586392,11.22882372
586648,11.48945544
610029,11.04802575
610529,10.67011732
690020,10.804078
746445,11.40491002
814991,10.15470248
947988,10.47115324
14983,10.81147491
15221,10.52976229
15554,9.99643753
17244,11.20830467
62459,10.53428704
63082,11.19881204
64181,10.91915884
65016,9.847115286
65298,10.53214282
77892,11.38474435
78841,10.04118803
92523,9.43205052
106821,10.19128824
238715,10.6476143
239143,9.679141798
239367,10.84006645
240564,9.654455527
249903,10.01263246
250209,11.00347115
250487,11.04265945
250796,10.67768005
251342,11.36072061
251526,9.245861672
262626,10.613328
262987,11.73820207
278240,11.17785188
296898,10.65108824
297627,11.03262181
297645,10.16794435
298302,11.33243884
298316,10.87076959
298899,10.41804619
319348,10.16910485
319416,9.64782081
320078,10.85895759
320384,10.01021146
320557,10.74058898
320705,8.825832463
321208,11.10083307
342308,11.49982036
343868,10.01637581
362394,10.86343924
367197,10.39830817
460386,10.05078599
460463,10.04911943
460713,10.96068817
463638,9.432184404
485756,10.89190109
493692,10.06465072
508116,10.37689796
508211,10.57067616
513306,10.27454144
543716,10.72298455
544875,10.95747924
544985,11.08526048
545139,10.47819135
545712,10.6857023
570323,10.5540043
592207,10.86155732
617535,10.55300231
617856,10.68907114
618687,10.54419667
884103,10.20493289
1126606,9.99629485
1217811,10.43447281
1270758,10.59947468
1274050,10.26060301
1298084,10.72425447
1312058,11.19711048
1320592,9.796131355
1440776,11.10422914
1537351,11.02887814
1569977,10.67266033
1568229,10.57926271
1569977,10.91450033
1568229,10.82110271
1614527,10.85502448
1675035,10.34387378
1684064,11.68978702
1726233,9.665095664
1740396,10.57922427
1760310,10.5797266
1763319,10.61254575
1765570,10.54611114
1771132,10.14709834
1779869,10.90439994
1988308,10.0325223
2002618,10.51943759
2005629,10.49168968
2007752,10.9319471
2248952,10.49600684
2308869,9.965738282
2379807,10.75236959
5000687,10.11936005
5006684,11.13510289
5014213,10.62529796
5022159,10.65989553
5026858,10.42347183
5027548,10.49173166
7014061,11.09540319
7019633,10.9111703
7021723,10.31619834
7023086,9.59934817
7028850,10.68975136
7032116,12.16662292
7035191,11.27945702
7046392,10.66011616
7048497,9.200635286
7056621,10.80263066
7061088,10.68448087
7069205,10.78177072
7070361,9.34419273
7073988,10.71600419
7073990,10.0045268
7073988,10.71600419
7073990,10.0045268
7076874,10.51738235
7081863,10.992408
7083868,10.78875483
7093351,10.54310735